GB2260码,曾用GB2260码,国统码,名称,全拼,简拼,经纬度
120000,NULL,120000000000,天津市,tianjingshi,tjs,NULL
120100,NULL,120100000000,市辖区,shixiaqu,sxq,NULL
120101,NULL,120101000000,和平区,hepingqu,hpq,NULL
NULL,NULL,120101001000,劝业场街道,quanyechangjiedao,qycjd,NULL
NULL,NULL,120101002000,小白楼街道,xiaobailoujiedao,xbljd,NULL
NULL,NULL,120101003000,五大道街道,wudadaojiedao,wddjd,NULL
NULL,NULL,120101004000,新兴街道,xinxingjiedao,xxjd,NULL
NULL,NULL,120101005000,南营门街道,nanyingmenjiedao,nymjd,NULL
NULL,NULL,120101006000,南市街道,nanshijiedao,nsjd,NULL
120102,NULL,120102000000,河东区,hedongqu,hdq,NULL
120103,NULL,120103000000,河西区,hexiqu,hxq,NULL
120104,NULL,120104000000,南开区,nankaiqu,nkq,NULL
120105,NULL,120105000000,河北区,hebeiqu,hbq,NULL
120106,NULL,120106000000,红桥区,hongqiaoqu,hqq,NULL
120110,NULL,120110000000,东丽区,dongliqu,dlq,NULL
120111,NULL,120111000000,西青区,xiqingqu,xqu,NULL
120112,NULL,120112000000,津南区,jingnanqu,jnq,NULL
120113,NULL,120113000000,北辰区,beichen,bcq,NULL
120114,NULL,120114000000,武清区,wuqingqu,wqq,NULL
120115,NULL,120115000000,宝坻区,daodiqu,bdq,NULL
120116,NULL,120116000000,滨海新区,bhxq,bhxq,NULL
120117,NULL,120117000000,宁河区,ninghequ,nhq,NULL
120118,NULL,120118000000,静海区,jinghaiqu,jhq,NULL
120119,NULL,120119000000,蓟州区,jizhouqu,jzq,NULL
